skin_name,lowest_price,median_price,volume,collected_at
AK-47 | Redline (Field-Tested),224.76,227.52,91,2026-05-04 12:04:13
AK-47 | Redline (Field-Tested),224.76,227.52,91,2026-05-04 12:05:43
AK-47 | Redline (Field-Tested),220.5,259.66,88,2026-05-04 16:18:38
AK-47 | Redline (Field-Tested),220.5,259.66,88,2026-05-04 16:31:43
AK-47 | Redline (Field-Tested),220.5,259.66,88,2026-05-04 16:46:43
AK-47 | Redline (Field-Tested),220.5,259.66,88,2026-05-04 17:01:43
AK-47 | Redline (Field-Tested),219.83,238.63,85,2026-05-04 17:16:43
AK-47 | Redline (Field-Tested),214.53,238.63,85,2026-05-04 17:31:43
AK-47 | Redline (Field-Tested),220.5,238.63,85,2026-05-04 17:46:43
AK-47 | Redline (Field-Tested),220.6,238.73,85,2026-05-04 18:01:42
AK-47 | Redline (Field-Tested),220.6,219.63,90,2026-05-04 18:16:44
AWP | Asiimov (Field-Tested),220.6,219.63,90,2026-05-04 18:16:44
M4A4 | Desolate Space (Field-Tested),220.6,219.63,90,2026-05-04 18:16:44
AK-47 | Redline (Field-Tested),212.07,219.63,90,2026-05-04 18:29:58
AWP | Asiimov (Field-Tested),922.49,860.38,8,2026-05-04 18:29:58
M4A4 | Desolate Space (Field-Tested),98.79,99.88,119,2026-05-04 18:29:59
AK-47 | Redline (Field-Tested),220.6,219.63,90,2026-05-04 18:31:43
AWP | Asiimov (Field-Tested),922.49,860.38,8,2026-05-04 18:31:43
M4A4 | Desolate Space (Field-Tested),98.79,99.88,119,2026-05-04 18:31:43
AK-47 | Redline (Field-Tested),220.6,219.63,90,2026-05-04 18:46:43
AWP | Asiimov (Field-Tested),922.49,860.38,8,2026-05-04 18:46:43
M4A4 | Desolate Space (Field-Tested),98.79,99.88,119,2026-05-04 18:46:43
